open_time,open,high,low,close,volume
2020/9/30 6:19,10770.81,10778.98,10770.8,10777.57,34.501431
2020/9/30 6:20,10777.57,10780.84,10777.26,10777.57,34.536567
2020/9/30 6:21,10777.57,10777.57,10767.38,10768.88,21.817415
2020/9/30 6:22,10768.88,10768.91,10763.5,10766.61,13.013052
2020/9/30 6:23,10766.62,10769.24,10766.37,10767.9,9.209421
2020/9/30 6:24,10767.9,10771.38,10767.9,10771.37,8.480525
2020/9/30 6:25,10771.38,10774.45,10771.09,10772.21,19.306507
2020/9/30 6:26,10772.21,10775,10771.9,10773.28,11.558164
2020/9/30 6:27,10773.28,10774.35,10769.27,10769.92,9.363905
2020/9/30 6:28,10769.92,10771.15,10769.91,10771.15,3.125709
2020/9/30 6:29,10771.15,10772.23,10769.48,10771.95,5.949489
2020/9/30 6:30,10771.94,10777.79,10771.79,10772,42.669381
2020/9/30 6:31,10772,10775.45,10769.09,10770.47,18.969064
2020/9/30 6:32,10770.47,10770.48,10764.44,10764.57,7.574565
2020/9/30 6:33,10764.57,10764.57,10757.74,10757.99,33.253704
2020/9/30 6:34,10757.99,10758.19,10756.27,10758,7.96407
2020/9/30 6:35,10758,10758.92,10757.89,10758.22,4.423091
2020/9/30 6:36,10758.23,10758.73,10756.32,10756.33,4.030015
2020/9/30 6:37,10756.32,10756.33,10753.16,10753.73,9.244983
2020/9/30 6:38,10753.73,10758,10753.16,10757.09,7.18365
2020/9/30 6:39,10757.08,10764.66,10757.08,10762.63,9.887551
2020/9/30 6:40,10762.63,10763.33,10756.14,10761.58,8.007813
2020/9/30 6:41,10761.59,10762.77,10761.38,10762.75,5.414753
2020/9/30 6:42,10762.75,10767.34,10762.75,10766.54,8.906058
2020/9/30 6:43,10766.53,10767.01,10757.55,10757.55,11.399288
2020/9/30 6:44,10757.55,10758.22,10752.73,10752.74,12.683185
2020/9/30 6:45,10752.73,10759,10749.32,10753.28,38.956949
2020/9/30 6:46,10753.29,10756.06,10751,10752.7,20.863724
2020/9/30 6:47,10752.69,10755.87,10752.69,10755.87,7.250742
2020/9/30 6:48,10755.86,10755.86,10746.74,10749.82,27.835859
2020/9/30 6:49,10749.83,10753.61,10749.83,10752.7,9.321493
2020/9/30 6:50,10752.7,10752.71,10751.76,10751.83,1.813396
2020/9/30 6:51,10751.84,10763.64,10751.84,10763.22,33.548924
2020/9/30 6:52,10763.22,10763.32,10757.99,10760.4,13.855234
2020/9/30 6:53,10760.4,10761.33,10758.06,10759.39,8.00694
2020/9/30 6:54,10759.38,10761.34,10759,10760.61,9.801094
2020/9/30 6:55,10760.61,10767.44,10760.53,10765.81,11.900774
2020/9/30 6:56,10765.82,10767.26,10763.43,10764.02,8.699696
2020/9/30 6:57,10764.03,10764.03,10763.42,10763.63,7.596547
2020/9/30 6:58,10763.63,10764.61,10763.24,10763.24,4.983234
2020/9/30 6:59,10763.24,10764,10763.05,10763.99,16.270145
2020/9/30 7:00,10764,10770,10764,10770,30.924537
2020/9/30 7:01,10770,10770.9,10765.48,10766.86,15.875055
2020/9/30 7:02,10766.86,10769.89,10765.8,10769.68,11.408434
2020/9/30 7:03,10769.69,10770.91,10769.69,10770.91,10.762728
2020/9/30 7:04,10770.91,10777.77,10770.91,10777.76,32.334186
2020/9/30 7:05,10777.77,10780.08,10777.76,10780,28.376151
2020/9/30 7:06,10780,10782.32,10779.97,10782.31,53.815242
2020/9/30 7:07,10782.31,10788.99,10782.02,10788.99,35.748707
2020/9/30 7:08,10788.99,10790.01,10782.03,10783.71,74.172137
2020/9/30 7:09,10783.71,10787.69,10783.11,10786.76,11.177352
2020/9/30 7:10,10786.77,10786.77,10784.89,10785.09,6.222099
2020/9/30 7:11,10785.09,10840,10785.09,10823.89,361.200559
2020/9/30 7:12,10823.6,10829.57,10820.7,10827.49,92.041179
2020/9/30 7:13,10827.49,10834.13,10827.49,10828.83,39.285721
2020/9/30 7:14,10828.83,10829.91,10822.65,10825.97,50.103681
2020/9/30 7:15,10825.98,10840.68,10825.73,10829.4,115.824479
2020/9/30 7:16,10829.39,10839.73,10828,10838.76,57.938677
2020/9/30 7:17,10838.76,10861,10833.24,10857.38,260.759242
2020/9/30 7:18,10857.52,10867.54,10848.97,10857.54,95.687091
2020/9/30 7:19,10857.36,10857.54,10847.09,10849.64,58.161289
2020/9/30 7:20,10849.65,10860.4,10847.1,10848.96,40.799943
2020/9/30 7:21,10848.96,10852.62,10848.2,10849.79,30.746178
2020/9/30 7:22,10849.79,10859.5,10849,10857.12,28.883203
2020/9/30 7:23,10857.12,10857.13,10848.17,10850.59,29.119101
2020/9/30 7:24,10850.59,10853.28,10848.19,10851.39,13.126869
2020/9/30 7:25,10851.39,10858.12,10850,10857.83,25.755038
2020/9/30 7:26,10857.83,10857.91,10842.93,10847.25,27.9075
2020/9/30 7:27,10848.16,10851.48,10847.02,10850.29,20.709999
2020/9/30 7:28,10850,10850.07,10846.36,10847.63,12.471628
2020/9/30 7:29,10847.62,10848.93,10845,10845.67,13.633754
2020/9/30 7:30,10845.67,10858.99,10845.67,10858.58,46.042523
2020/9/30 7:31,10858.58,10859.43,10848.47,10849.01,30.971593
2020/9/30 7:32,10849,10849.51,10847.75,10847.94,11.887884
2020/9/30 7:33,10847.94,10848.67,10844.96,10845.97,14.893709
2020/9/30 7:34,10845.98,10850.77,10844.54,10845.92,17.854034
2020/9/30 7:35,10845.92,10846,10843.63,10844.82,14.544264
2020/9/30 7:36,10844.83,10844.98,10842.85,10844.16,11.457923
2020/9/30 7:37,10844.16,10844.17,10838.51,10839.82,9.795428
2020/9/30 7:38,10839.82,10842.09,10835.9,10838,32.871934
